名次,昵称,组别,总分,最后提交时间
1,4qwerty7,校外选手,6956,2023-10-18 03:59:11
2,MonKey #GG,北京大学,5814,2023-10-18 18:12:26
3,hzqmwne #从来不屯flag,校外选手,5582,2023-10-18 10:08:12
4,gzz #放弃治疗,北京大学,5423,2023-10-17 01:35:42
5,1111,北京大学,5087,2023-10-18 03:17:05
6,bubb1eGvm,北京大学,4930,2023-10-19 18:53:59
7,DawnAA #长期素食为什么不吃小🥒,北京大学,4782,2023-10-20 13:58:57
8,koala,北京大学,4262,2023-10-20 17:01:39
9,GWDx,校外选手,4218,2023-10-20 15:42:24
10,Soyo0Love~ #天🥒弱,北京大学（新生）,4121,2023-10-18 13:19:44
11,vincent163 #随便玩玩,北京大学,4081,2023-10-18 17:25:09
12,taoky #我是来结束乐队的，,校外选手,3955,2023-10-19 07:03:26
13,ℒ𝓎𝔰itheα #明年最后一次来了,北京大学,3886,2023-10-18 19:16:24
14,LTC,校外选手,3679,2023-10-19 17:02:41
15,lly #求去看U149我什么都不会做的,校外选手,3673,2023-10-20 17:34:08
16,雫るる今天吃一德格拉米 #关注るる谢谢喵,北京大学,3670,2023-10-20 14:50:22
17,Lost-MSth #呜呜呜我好菜,北京大学,3613,2023-10-20 15:18:50
18,wwj #120Hz 打音游一定很舒服吧,北京大学,3563,2023-10-19 15:10:19
19,test12345 #你怎么不说谢谢😡,北京大学,3553,2023-10-20 15:52:24
20,lyazj #想要平板笔送女朋友,北京大学,3432,2023-10-20 17:56:05
21,最后的ede  # 红莲の救世主,北京大学,3415,2023-10-20 11:27:38
22,铃兰小姐是我们的光 #怎么？你不是粥批？,校外选手,3388,2023-10-20 13:03:16
23,Testla # MC 玩一会就晕,校外选手,3339,2023-10-20 03:10:54
24,ff98sha #SJMC,校外选手,3221,2023-10-18 20:04:41
25,Ishisashi #赛后和阿冯CT进行,校外选手,3155,2023-10-20 17:56:35
26,wasa855 #破防下播,北京大学（新生）,3093,2023-10-19 14:14:37
27,Marvin #逆向真不熟,北京大学,3088,2023-10-19 17:29:08
28,cnw@ngjihe,校外选手,3088,2023-10-20 16:27:29
29,mariodon,校外选手,3004,2023-10-20 17:18:20
30,日向千夏#いいから 僕と遊んで その声で,校外选手,2952,2023-10-20 11:41:55
31,outerform,北京大学,2937,2023-10-20 12:18:34
32,三氟五氚甲苯 #令人感叹,校外选手,2904,2023-10-19 23:48:36
33,imlonghao,校外选手,2886,2023-10-17 22:09:19
34,Wu_Ren #该写WP了,北京大学（新生）,2850,2023-10-18 11:57:38
35,g4bmyg #明年再来,北京大学,2720,2023-10-20 16:48:20
36,风的影子 #现学现卖的菜狗喵,校外选手,2701,2023-10-20 02:53:11
37,水帝WaterKing,北京大学,2695,2023-10-19 02:41:13
38,aalice,校外选手,2693,2023-10-18 09:37:23
39,thrfirs #好难喵,北京大学,2692,2023-10-20 14:36:56
40,宮園かをり!,北京大学,2688,2023-10-20 14:21:01
41,nxp # 太难了,北京大学,2668,2023-10-18 17:55:17
42,wxiwnd #我想要平板,校外选手,2584,2023-10-20 17:33:31
43,银河-蜗牛 #下次还来,校外选手,2574,2023-10-20 17:23:21
44,Jaho #waht-si-a-gta,北京大学,2560,2023-10-20 17:08:47
45,RayW,北京大学,2533,2023-10-20 17:32:35
46,test #开摆😭,北京大学,2526,2023-10-20 16:47:18
47,长期素食,北京大学,2516,2023-10-18 08:28:46
48,sjfh #not sjfh,北京大学,2494,2023-10-19 12:51:35
49,Xzonn,北京大学,2491,2023-10-20 16:29:00
50,三😭️等😭️奖😭️分😭界😭️线,北京大学,2428,2023-10-19 19:04:26
51,AirHoister #一滴也没有了😭,北京大学,2224,2023-10-18 19:49:34
52,星咲あかり,校外选手,2215,2023-10-18 12:54:09
53,dywen,北京大学,2192,2023-10-19 15:19:09
54,H4kur31  # 我们明年再见,北京大学,2069,2023-10-20 16:14:33
55,hideyuki,北京大学,2049,2023-10-20 00:00:58
56,wzc1995,校外选手,2001,2023-10-18 16:12:43
57,house_fz #四年没进前30,北京大学,1959,2023-10-20 14:57:30
58,chiv # goodAtNothing,校外选手,1922,2023-10-19 00:15:42
59,Tanix,校外选手,1919,2023-10-18 00:13:24
60,peccc,北京大学,1880,2023-10-19 16:06:03
61,Bright,北京大学,1872,2023-10-19 03:06:36
62,kaede,校外选手,1852,2023-10-15 03:12:09
63,genshin高手 #also农粥高手,校外选手,1850,2023-10-15 13:51:37
64,王村ACAC #躺🛌🏻💤🙀,北京大学,1822,2023-10-18 09:14:07
65,Frenet,北京大学,1821,2023-10-18 17:21:31
66,EularClever,校外选手,1817,2023-10-18 17:15:50
67,SparrowHe #躺平了喵,校外选手,1707,2023-10-20 16:28:53
68,Horbin #喵,北京大学,1685,2023-10-18 16:20:17
69,kfc2333 #283281645,北京大学,1661,2023-10-18 16:21:25
70,nnm #摆了,校外选手,1636,2023-10-16 13:34:28
71,Joooook,校外选手,1624,2023-10-18 23:41:07
72,G4rl1c,北京大学,1582,2023-10-18 18:29:11
73,zyy,北京大学（新生）,1526,2023-10-20 16:07:19
74,forest,北京大学,1514,2023-10-18 21:36:18
75,Testify # Silent｜End,北京大学,1513,2023-10-20 17:51:34
76,今天给大家带来一局每人一小块地,北京大学,1503,2023-10-20 15:51:01
77,鸟桃 #求你们去看U149我什么都会做的,校外选手,1467,2023-10-16 16:58:28
78,"gg #""ctf会带来不幸""",北京大学,1459,2023-10-20 14:56:52
79,shisanli #楼下别卷了😭,北京大学,1435,2023-10-20 08:20:12
80,ppdy C-137,校外选手,1424,2023-10-19 12:57:38
81,👀 #Bε🚩bi,北京大学（新生）,1399,2023-10-20 17:32:22
82,sinoko #已让等待成为遗憾,北京大学,1384,2023-10-20 11:20:16
83,原U粥U，不如PKU #王者荣耀，启动！,校外选手,1369,2023-10-18 14:58:37
84,Shad0wJoker #不做辣,校外选手,1333,2023-10-18 19:41:05
85,我好菜啊 #累了喵,北京大学,1329,2023-10-20 17:09:02
86,白水 #github@lawvs,校外选手,1300,2023-10-18 19:18:32
87,Edward~,校外选手,1287,2023-10-18 23:23:34
88,alice_and_bob,校外选手,1253,2023-10-15 15:51:12
89,xlccccc,校外选手,1248,2023-10-18 20:43:46
90,Eternity #没奖品喵，哭哭喵,北京大学,1244,2023-10-20 16:31:07
91,brother_yan,校外选手,1216,2023-10-20 17:10:59
92,纳西妲 #不是我怎么下周有3个pre啊,北京大学,1198,2023-10-14 22:12:39
93,pales1gh,校外选手,1161,2023-10-20 00:16:12
94,csmantle@#$@@#,校外选手,1144,2023-10-15 10:54:21
95,0ω0,校外选手,1124,2023-10-17 16:49:13
96,FYWinds,校外选手,1085,2023-10-19 06:14:01
97,XDLiu,校外选手,1082,2023-10-19 22:20:32
98,想看你看的世界,校外选手,1079,2023-10-14 23:40:07
99,yy469312306,校外选手,1077,2023-10-20 06:27:25
100,小喵 #喵喵喵,校外选手,1066,2023-10-20 09:37:36
